"Country/Region",Total Cases,New Cases,Total Deaths,New Deaths,Total_Recovered,New Recovered,Active Cases,"Serious,Critical",Tot�Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
Aruba,44114.0,,236.0,,42438.0,,1440.0,2,"4,09,947","2,193","1,77,885","16,53,068","1,07,609"
Tanzania,42973.0,,846.0,,41254.08,,,7,679,13,,,"6,32,98,550"
Mauritius,42152.0,,1045.0,,40357.0,,750.0,,"33,067",820,"3,58,675","2,81,374","12,74,727"
Mayotte,42027.0,,188.0,,40345.92,,,,"1,46,815",657,"1,76,919","6,18,038","2,86,259"
Togo,39483.0,,290.0,,39178.0,,15.0,,"4,548",33,"8,10,887","93,411","86,80,837"
Guinea,38462.0,,467.0,,37757.0,,238.0,8,"2,774",34,"6,60,107","47,607","1,38,65,691"
Bahamas,38084.0,,844.0,,36366.0,,874.0,1,"95,087","2,107","2,57,839","6,43,767","4,00,516"
Isle of Man,38008.0,,116.0,,36487.68,,,,"4,43,335","1,353","1,50,753","17,58,422","85,732"
Lesotho,34790.0,,723.0,,25980.0,,8087.0,,"15,990",332,"4,31,221","1,98,199","21,75,699"
Faeroe Islands,34658.0,,28.0,,33271.68,,,5,"7,03,959",569,"7,78,000","1,58,02,409","49,233"
Haiti,34228.0,,860.0,,33342.0,,26.0,,"2,930",74,"1,32,422","11,337","1,16,80,283"
Mali,33144.0,,743.0,,32321.0,,80.0,,"1,543",35,"8,03,224","37,405","2,14,73,764"
Cayman Islands,31472.0,,37.0,,8553.0,,22882.0,1,"4,67,797",550,"2,22,773","33,11,280","67,277"
Saint Lucia,30052.0,,409.0,,29095.0,,548.0,,"1,62,344","2,209","2,10,983","11,39,752","1,85,113"
Benin,28014.0,,163.0,,27847.0,,4.0,,"2,191",13,"6,04,310","47,268","1,27,84,726"
Somalia,27334.0,,1361.0,,13182.0,,12791.0,,"1,623",81,"4,00,466","23,778","1,68,41,795"
Micronesia,26080.0,,65.0,,25036.8,,,1,"2,21,978",553,"81,349","6,92,397","1,17,489"
Congo,25375.0,,386.0,,24006.0,,983.0,,"4,377",67,"3,47,815","59,991","57,97,805"
Solomon Islands,24575.0,,153.0,,23592.0,,,1,"34,077",212,,,"7,21,159"
San Marino,24069.0,,125.0,,23868.0,,76.0,4,"7,06,146","3,667","1,96,855","57,75,414","34,085"
Timor-Leste,23428.0,,138.0,,23102.0,,188.0,,"17,108",101,"2,78,529","2,03,391","13,69,429"
Burkina Faso,22056.0,,396.0,,21596.0,,64.0,,998,18,"2,48,995","11,265","2,21,02,838"
Liechtenstein,21437.0,,91.0,,21345.0,,1.0,,"5,58,444","2,371","1,12,457","29,29,559","38,387"
Gibraltar,20550.0,,113.0,,16579.0,,3858.0,,"6,09,720","3,353","5,34,283","1,58,52,213","33,704"
Grenada,19693.0,,238.0,,19358.0,,97.0,4,"1,73,545","2,097","1,82,981","16,12,523","1,13,475"
Bermuda,18860.0,,165.0,,18685.0,,10.0,,"3,04,493","2,664","10,29,558","1,66,22,128","61,939"
Nicaragua,18491.0,,225.0,,4225.0,,14041.0,,"2,728",33,,,"67,79,100"
South Sudan,18368.0,,138.0,,18115.0,,115.0,1,"1,581",12,"4,10,280","35,313","1,16,18,511"
Tajikistan,17786.0,,125.0,,17264.0,,397.0,,"1,786",13,,,"99,57,464"
Equatorial Guinea,17229.0,,183.0,,16907.0,,139.0,5,"11,512",122,"3,65,697","2,44,342","14,96,662"
Tonga,16814.0,,13.0,,15638.0,,1163.0,,"1,56,048",121,"5,35,009","49,65,327","1,07,749"
Samoa,16737.0,,31.0,,1605.0,,15101.0,,"82,759",153,"1,87,397","9,26,612","2,02,239"
Monaco,16178.0,,67.0,,15992.0,,119.0,4,"4,06,656","1,684","78,646","19,76,875","39,783"
Marshall Islands,16081.0,,17.0,,15954.0,,110.0,,"2,67,762",283,,,"60,057"
Dominica,15760.0,,74.0,,15673.0,,13.0,,"2,17,848","1,023","2,29,344","31,70,187","72,344"
Djibouti,15690.0,,189.0,,15427.0,,74.0,,"15,441",186,"3,05,941","3,01,094","10,16,097"
CAR,15368.0,,113.0,,15200.0,,55.0,2,"3,063",23,"81,294","16,205","50,16,678"
Gambia,12626.0,,372.0,,12189.0,,65.0,,"4,935",145,"1,55,686","60,851","25,58,482"
Saint Martin,12293.0,,63.0,,1399.0,,10831.0,7,"3,09,414","1,586","1,12,382","28,28,643","39,730"
Vanuatu,12014.0,,14.0,,11976.0,,24.0,,"37,330",44,"24,976","77,606","3,21,832"
Greenland,11971.0,,21.0,,2761.0,,9189.0,4,"2,10,117",369,"1,64,926","28,94,810","56,973"
Yemen,11945.0,,2159.0,,9124.0,,662.0,23,383,69,"3,29,592","10,579","3,11,54,867"
Caribbean Netherlands,11682.0,,38.0,,10476.0,,1168.0,,"4,38,398","1,426","30,126","11,30,559","26,647"
Sint Maarten,11030.0,,92.0,,10905.0,,33.0,,"2,50,876","2,093","62,056","14,11,454","43,966"
Eritrea,10189.0,,103.0,,10086.0,,0.0,,"2,782",28,"23,693","6,470","36,62,244"
Niger,9931.0,,312.0,,8890.0,,729.0,1,381,12,"2,54,538","9,759","2,60,83,660"
St. Vincent Grenadines,9611.0,,124.0,,9480.0,,7.0,,"86,158","1,112","1,14,024","10,22,169","1,11,551"
